Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
38678286,6/14/2015 9:50:36,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Data,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
34417404,6/14/2015 10:55:15,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Education,Yes,Open Education Week; Open Data Day,Social Media Campaigns; Fundraising; Communications and Media; Blogging; Volunteer Management
70039063,6/14/2015 11:05:40,Female,United States of America,Croatia,Masters/professional student,Natural Sciences - Biological sciences,Open Data,No,Open Access Week,Community / Grassroots Organizing; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
52891033,6/14/2015 11:06:10,Male,Kenya,Kenya,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,,Website Management / Design; Graphic Design; Blogging; Volunteer Management
29980438,6/14/2015 11:15:14,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Other social sciences,Open Data,Yes,Open Data Day,Social Media Campaigns; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
31477574,6/14/2015 11:18:07,Female,Cameroon,Cameroon,Undergraduate student,Social Sciences - Law,Open Data,Yes,Open Data Day,Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
13091092,6/14/2015 11:26:43,Male,Serbia,United Arab Emirates,Masters/professional student,Engineering/Technology - Environmental engineering,Open Data,Yes,,Coding; Website Management / Design; Advocacy and Policy; Research about OpenCon's Issue Areas
33765712,6/14/2015 11:50:08,Male,United States of America,United States of America,Faculty/teacher,Natural Sciences - Mathematics,Open Access,Yes,,Coding; Website Management / Design; Advocacy and Policy; Event Logistics; Volunteer Management
63476594,6/14/2015 12:13:23,Female,Nigeria,Nigeria,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Education Week,Blogging
94227763,6/14/2015 12:13:27,Female,Croatia,Croatia,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week,Social Media Campaigns; Fundraising; Communications and Media; Event Logistics; Volunteer Management
10857746,6/14/2015 12:21:16,Female,Cameroon,Cameroon,Undergraduate student,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Data,Yes,Open Data Day,Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
15571632,6/14/2015 13:12:46,Male,Uzbekistan,Uzbekistan,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Communications and Media; Volunteer Management
23723001,6/14/2015 13:24:55,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week,Website Management / Design; Graphic Design; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
78870196,6/14/2015 13:43:16,Female,Kenya,Kenya,PhD candidate,Social Sciences - Economics and business,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management
20270440,6/14/2015 13:43:36,Male,Italy,Italy,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Coding; Website Management / Design; Graphic Design; Video Editing; Research about OpenCon's Issue Areas
23616390,6/14/2015 14:11:34,Female,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Social Media Campaigns; Fundraising
39112163,6/14/2015 14:59:48,Male,Uganda,Uganda,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Education,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Fundraising; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
15748450,6/14/2015 15:06:41,Female,Kenya,Kenya,Other: Banking,Social Sciences - Economics and business,Open Data,No,,Communications and Media; Financial inclusion through use of technology
21686593,6/14/2015 15:57:10,Male,United States of America,United States of America,Publisher,Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week; Open Education Week,Social Media Campaigns; Fundraising; Communications and Media; Blogging; Research about OpenCon's Issue Areas
14326303,6/14/2015 16:01:02,Male,United States of America,United States of America,PhD candidate,Social Sciences - Psychology,Open Education,Yes,Open Access Week,Fundraising; Communications and Media; Blogging; Advocacy and Policy
10048199,6/14/2015 16:25:19,Female,Russia,Russia,Other: Higher education administrator,Social Sciences - Educational sciences,Open Education,No,,Fundraising; Advocacy and Policy; Event Logistics; Volunteer Management; Higher Education
28003994,6/14/2015 16:44:33,Male,Nigeria,Nigeria,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Graphic Design; Video Editing; Community / Grassroots Organizing; Advocacy and Policy
21831537,6/14/2015 18:54:01,Female,China,United States of America,Masters/professional student,Agricultural Sciences - Agricultural biotechnology,Open Data,Yes,Open Data Day,Blogging; Volunteer Management; Research about OpenCon's Issue Areas
35122622,6/14/2015 19:16:46,Male,Gambia,Gambia,Journalist,Social Sciences - Media and communications,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
38755500,6/14/2015 19:17:27,Male,Gambia,Turkey,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,Yes,Open Education Week,Video Editing; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Climate change activism
25017873,6/14/2015 19:47:25,Female,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Biological sciences,Open Access,No,Open Education Week,Communications and Media
39523679,6/14/2015 20:46:02,Male,Mexico,Mexico,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Event Logistics; Volunteer Management
15680903,6/14/2015 23:39:36,Male,United States of America,United States of America,Masters/professional student,Social Sciences - Sociology,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
20825832,6/15/2015 0:14:59,Female,Nigeria,Nigeria,Undergraduate student,Social Sciences - Law,Open Data,No,Open Access Week,Advocacy and Policy
77129745,6/15/2015 0:49:58,Female,Nigeria,China,PhD candidate,Engineering/Technology - Civil engineering,Open Education,Yes,Open Education Week,Fundraising; Communications and Media
13060649,6/15/2015 1:42:29,Female,Indonesia,Indonesia,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Volunteer Management
45285841,6/15/2015 2:34:38,Male,Nigeria,Nigeria,Masters/professional student,Natural Sciences - Physical sciences,Open Education,No,Open Education Week,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Volunteer Management
28805455,6/15/2015 2:41:57,Male,Iran,Denmark,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Blogging
21638968,6/15/2015 2:48:08,Female,Azerbaijan,Azerbaijan,Faculty/teacher,Humanities - Languages and literature,Open Education,No,Open Access Week; Open Education Week,Social Media Campaigns
26014591,6/15/2015 2:53:01,Male,Nigeria,Canada,PhD candidate,Natural Sciences - Physical sciences,Open Data,No,Open Access Week; Open Data Day,Coding; Social Media Campaigns; Fundraising; Event Logistics; Research about OpenCon's Issue Areas
17415144,6/15/2015 3:04:19,Female,Kenya,Kenya,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
15548882,6/15/2015 5:14:15,Male,Kenya,Kenya,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,,Coding; Website Management / Design; Social Media Campaigns; Fundraising; Research about OpenCon's Issue Areas
34097408,6/15/2015 5:30:50,Male,Kyrgyzstan,Kyrgyzstan,Undergraduate student,Humanities - Languages and literature,Open Education,No,Open Education Week,Video Editing; Volunteer Management
58869666,6/15/2015 5:57:24,Female,Poland,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Education,No,,
61294462,6/15/2015 6:04:32,Female,United States of America,United States of America,Researcher (non-faculty),Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Fundraising; Communications and Media; Blogging; Research about OpenCon's Issue Areas
97591619,6/15/2015 6:25:19,Male,Hungary,Austria,Undergraduate student,Medicine/Health Sciences - Health biotechnology,Open Education,Yes,,Video Editing; Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management
92999468,6/15/2015 6:45:28,Male,Cameroon,Cameroon,Undergraduate student,Social Sciences - Political Science,Open Data,Yes,Open Data Day,Social Media Campaigns; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
28290456,6/15/2015 6:49:58,Male,Nigeria,Nigeria,Researcher (non-faculty),Social Sciences - Economics and business,Open Data,Yes,Open Access Week,Graphic Design; Social Media Campaigns; Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
12639713,6/15/2015 7:00:46,Male,Nigeria,Nigeria,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week; Open Education Week,Coding; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
32353701,6/15/2015 7:39:06,Male,India,India,Faculty/teacher,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Access,Yes,Open Access Week; Open Data Day,Social Media Campaigns; Fundraising; Advocacy and Policy
48202424,6/15/2015 7:51:01,Female,Cameroon,Cameroon,Masters/professional student,Social Sciences - Political Science,Open Education,No,,Volunteer Management
34179318,6/15/2015 7:56:27,Male,Poland,Poland,Faculty/teacher,Social Sciences - Sociology,Open Data,Yes,,Coding; Research about OpenCon's Issue Areas
14790224,6/15/2015 8:05:54,Male,Benin,Benin,Masters/professional student,Social Sciences - Social and economic geography,Open Data,Yes,,Volunteer Management; Research about OpenCon's Issue Areas
19266514,6/15/2015 8:07:45,Male,Swaziland,Swaziland,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Education Week,Coding; Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Communications and Media
50285338,6/15/2015 8:12:51,Female,Cameroon,Cameroon,Undergraduate student,Natural Sciences - Other natural sciences,Open Data,Yes,Open Data Day,Social Media Campaigns; Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
41936904,6/15/2015 8:18:43,Female,Brazil,Brazil,Lawyer,Social Sciences - Law,Open Data,No,,Video Editing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
61401318,6/15/2015 8:26:22,Female,Kenya,Kenya,Undergraduate student,None of these describes my field of study or expertise,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Event Logistics; Volunteer Management
26131771,6/15/2015 8:59:22,Male,Nigeria,Nigeria,PhD candidate,Medicine/Health Sciences - Health sciences,Open Education,No,Open Education Week,Advocacy and Policy
41203583,6/15/2015 9:10:56,Male,Kenya,Kenya,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Blogging; Event Logistics; Volunteer Management
